Description,Disease
Fungal infection is a common skin condition caused by fungi.,Fungal infection
Allergy is an immune system reaction to a substance in the environment.,Allergy
GERD (Gastroesophageal Reflux Disease) is a digestive disorder that affects the lower esophageal sphincter.,GERD
Chronic cholestasis is a condition where bile flow from the liver is reduced for a prolonged period.,Chronic cholestasis
Drug Reaction occurs when the body reacts adversely to a medication.,Drug Reaction
Peptic ulcer disease involves sores that develop on the inner lining of the stomach and small intestine.,Peptic ulcer disease
AIDS (Acquired Immunodeficiency Syndrome) is a disease caused by HIV that weakens the immune system.,AIDS
Diabetes is a chronic condition that affects how the body processes blood sugar.,Diabetes
"Gastroenteritis is an inflammation of the stomach and intestines, typically caused by a virus or bacteria.",Gastroenteritis
Bronchial Asthma is a respiratory condition characterized by inflammation of the airways.,Bronchial Asthma
"Hypertension, or high blood pressure, is a common cardiovascular condition.",Hypertension
Migraine is a type of headache that often involves severe pain and sensitivity to light and sound.,Migraine
Cervical spondylosis is a degenerative condition of the cervical spine.,Cervical spondylosis
Paralysis (brain hemorrhage) refers to the loss of muscle function due to bleeding in the brain.,Paralysis (brain hemorrhage)
"Jaundice is a yellow discoloration of the skin and eyes, often indicating liver problems.",Jaundice
Malaria is a mosquito-borne infectious disease affecting humans and other animals.,Malaria
Chicken pox is a highly contagious viral infection causing an itchy rash.,Chicken pox
Dengue is a mosquito-borne viral infection causing flu-like symptoms.,Dengue
Typhoid is a bacterial infection that can lead to a high fever and gastrointestinal symptoms.,Typhoid
hepatitis A is a viral liver disease.,hepatitis A
Hepatitis B is a viral infection that attacks the liver.,Hepatitis B
Hepatitis C is a viral infection that causes liver inflammation.,Hepatitis C
Hepatitis D is a serious liver disease caused by the hepatitis D virus.,Hepatitis D
Hepatitis E is a viral infection that causes liver inflammation.,Hepatitis E
Alcoholic hepatitis is inflammation of the liver due to alcohol consumption.,Alcoholic hepatitis
Tuberculosis is a bacterial infection that primarily affects the lungs.,Tuberculosis
Common Cold is a viral infection of the upper respiratory tract.,Common Cold
Pneumonia is an inflammatory condition affecting the air sacs in the lungs.,Pneumonia
Dimorphic hemmorhoids(piles) is a condition characterized by swollen blood vessels in the rectum.,Dimorphic hemmorhoids(piles)
Heart attack is a sudden and severe reduction in blood flow to the heart muscle.,Heart attack
"Varicose veins are enlarged, twisted veins that usually appear on the legs.",Varicose veins
Hypothyroidism is a condition where the thyroid gland doesn't produce enough thyroid hormone.,Hypothyroidism
Hyperthyroidism is a condition where the thyroid gland produces too much thyroid hormone.,Hyperthyroidism
Hypoglycemia is a condition characterized by abnormally low blood sugar levels.,Hypoglycemia
Osteoarthristis is a degenerative joint disease that affects the cartilage in joints.,Osteoarthristis
"Arthritis is inflammation of one or more joints, causing pain and stiffness.",Arthritis
(Vertigo) Paroxysmal Positional Vertigo is a type of dizziness caused by specific head movements.,(vertigo) Paroymsal Positional Vertigo
Acne is a skin condition that occurs when hair follicles become clogged with oil and dead skin cells.,Acne
Urinary tract infection is an infection in any part of the urinary system.,Urinary tract infection
"Psoriasis is a chronic skin condition characterized by red, itchy, and scaly patches.",Psoriasis
Impetigo is a highly contagious skin infection causing red sores that can break open.,Impetigo
